Artist:	Sanguisugabogg			
				
Title	Link	Album	Track	Path
Tortured Whole - Album	https://www.youtube.com/watch?v=yva43MGiM0w		1	music/Sanguisugabogg/Tortured Whole - Album
				
Black Market Vasectomy	https://www.youtube.com/watch?v=StMpkOd-Na8	Homicidal Ecstacy - Album	1	music/Sanguisugabogg/Homicidal Ecstacy - Album/Black Market Vasectomy
Face Ripped Off	https://www.youtube.com/watch?v=rEtoUc9n1vo	Homicidal Ecstacy - Album	2	music/Sanguisugabogg/Homicidal Ecstacy - Album/Face Ripped Off
Pissed	https://www.youtube.com/watch?v=wReUTVtsYks	Homicidal Ecstacy - Album	3	music/Sanguisugabogg/Homicidal Ecstacy - Album/Pissed
Testicular Rot	https://www.youtube.com/watch?v=XxQ_iM8Jl1g	Homicidal Ecstacy - Album	4	music/Sanguisugabogg/Homicidal Ecstacy - Album/Testicular Rot
Hungry for Your Insides	https://www.youtube.com/watch?v=HsSNZ8Sm5Fo	Homicidal Ecstacy - Album	5	music/Sanguisugabogg/Homicidal Ecstacy - Album/Hungry for Your Insides
Skin Cushion	https://www.youtube.com/watch?v=A97r6Ufzr6A	Homicidal Ecstacy - Album	6	music/Sanguisugabogg/Homicidal Ecstacy - Album/Skin Cushion
A Lesson in Savagery	https://www.youtube.com/watch?v=DpQgyUe7XXQ	Homicidal Ecstacy - Album	7	music/Sanguisugabogg/Homicidal Ecstacy - Album/A Lesson in Savagery
Narcissistic Incisions	https://www.youtube.com/watch?v=iE4BFIq9b_E	Homicidal Ecstacy - Album	8	music/Sanguisugabogg/Homicidal Ecstacy - Album/Narcissistic Incisions
Mortal Admonishment	https://www.youtube.com/watch?v=k5-coaM3DQI	Homicidal Ecstacy - Album	9	music/Sanguisugabogg/Homicidal Ecstacy - Album/Mortal Admonishment
Proclamation of the Frail	https://www.youtube.com/watch?v=iB9t_tNITnY	Homicidal Ecstacy - Album	10	music/Sanguisugabogg/Homicidal Ecstacy - Album/Proclamation of the Frail
Necrosexual Deviant	https://www.youtube.com/watch?v=vn2PkwULBVk	Homicidal Ecstacy - Album	11	music/Sanguisugabogg/Homicidal Ecstacy - Album/Necrosexual Deviant
Feening for Bloodshed	https://www.youtube.com/watch?v=NtZPkzep_r8	Homicidal Ecstacy - Album	12	music/Sanguisugabogg/Homicidal Ecstacy - Album/Feening for Bloodshed
